#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	6         	ok              	1.0000000000e+03	5.0000000000e+03	2.4388329666e+21	1.4485926343e+21	2.1630280263e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	6         	ok              	8.4370000000e+02	5.0000000000e+03	2.0426862207e+21	1.2221776056e+21	2.1473048233e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	5         	ok              	7.1180000000e+02	5.0000000000e+03	1.7098788143e+21	1.0311082371e+21	2.1305289296e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	5         	ok              	6.0050000000e+02	5.0000000000e+03	1.4304171631e+21	8.6987987690e+20	2.1126608739e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	5         	ok              	5.0660000000e+02	5.0000000000e+03	1.1958950106e+21	7.3385702854e+20	2.0936686855e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	5         	ok              	4.2740000000e+02	5.0000000000e+03	9.9922831226e+20	6.1912849190e+20	2.0735298997e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	5         	ok              	3.6060000000e+02	5.0000000000e+03	8.3439370695e+20	5.2236250393e+20	2.0522269510e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	5         	ok              	3.0420000000e+02	5.0000000000e+03	6.9617203540e+20	4.4066187936e+20	2.0297261806e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	5         	ok              	2.5670000000e+02	5.0000000000e+03	5.8062549301e+20	3.7185372923e+20	2.0060895730e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	5         	ok              	2.1660000000e+02	5.0000000000e+03	4.8386544071e+20	3.1376516459e+20	1.9812817600e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	5         	ok              	1.8270000000e+02	5.0000000000e+03	4.0278170110e+20	2.6465787429e+20	1.9552904253e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	5         	ok              	1.5410000000e+02	5.0000000000e+03	3.3502469715e+20	2.2322812495e+20	1.9282097465e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	5         	ok              	1.3000000000e+02	5.0000000000e+03	2.7851590553e+20	1.8831704246e+20	1.9001449810e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	4         	ok              	1.0970000000e+02	5.0000000000e+03	2.3144554706e+20	1.5891061198e+20	1.8712089728e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	4         	ok              	9.2560000000e+01	5.0000000000e+03	1.9217786869e+20	1.3408173423e+20	1.8414507840e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	4         	ok              	7.8090000000e+01	5.0000000000e+03	1.5945403748e+20	1.1312059881e+20	1.8110072417e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	4         	ok              	6.5890000000e+01	5.0000000000e+03	1.3224482529e+20	9.5447768675e+19	1.7800789685e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
17        	4         	ok              	5.5590000000e+01	5.0000000000e+03	1.0961211653e+20	8.0527264541e+19	1.7488073873e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
18        	4         	ok              	4.6900000000e+01	5.0000000000e+03	9.0817138315e+19	6.7938994549e+19	1.7174142408e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
19        	4         	ok              	3.9570000000e+01	5.0000000000e+03	7.5227382571e+19	5.7320810540e+19	1.6861258658e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
20        	4         	ok              	3.3380000000e+01	5.0000000000e+03	6.2293035360e+19	4.8354022133e+19	1.6551343446e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
21        	4         	ok              	2.8160000000e+01	5.0000000000e+03	5.1585799874e+19	4.0792368582e+19	1.6247165640e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
22        	4         	ok              	2.3760000000e+01	5.0000000000e+03	4.2732663229e+19	3.4418560991e+19	1.5951209301e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
23        	5         	ok              	2.0050000000e+01	5.0000000000e+03	3.5414561801e+19	2.9044282318e+19	1.5665619892e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	5         	ok              	1.6910000000e+01	5.0000000000e+03	2.9345414743e+19	2.4495701446e+19	1.5391350683e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	5         	ok              	1.4270000000e+01	5.0000000000e+03	2.4346711447e+19	2.0671416892e+19	1.5132003207e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	5         	ok              	1.2040000000e+01	5.0000000000e+03	2.0210552783e+19	1.7441055317e+19	1.4887843484e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	5         	ok              	1.0160000000e+01	5.0000000000e+03	1.6794268774e+19	1.4717701165e+19	1.4660456057e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	5         	ok              	8.5680000000e+00	5.0000000000e+03	1.3959002831e+19	1.2411541691e+19	1.4449573439e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	5         	ok              	7.2290000000e+00	5.0000000000e+03	1.1620508880e+19	1.0471876153e+19	1.4256962629e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	5         	ok              	6.0990000000e+00	5.0000000000e+03	9.6836736970e+18	8.8349664767e+18	1.4081911240e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	5         	ok              	5.1450000000e+00	5.0000000000e+03	8.0773499180e+18	7.4530091035e+18	1.3923986934e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	5         	ok              	4.3410000000e+00	4.9749000000e+03	6.8022281768e+18	6.3200673637e+18	1.3827887900e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	5         	ok              	3.6620000000e+00	4.9501000000e+03	5.7298134182e+18	5.3582212752e+18	1.3738717614e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	5         	ok              	3.0900000000e+00	4.9500000000e+03	4.7926139495e+18	4.5213648889e+18	1.3618499250e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	5         	ok              	2.6070000000e+00	4.9500000000e+03	4.0119387413e+18	3.8146272704e+18	1.3512277156e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	5         	ok              	2.1990000000e+00	4.9500000000e+03	3.3607107524e+18	3.2176315180e+18	1.3419031986e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	6         	ok              	1.8550000000e+00	4.9500000000e+03	2.8178034708e+18	2.7142821582e+18	1.3337734552e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	6         	ok              	1.5650000000e+00	4.9500000000e+03	2.3647083225e+18	2.2899469421e+18	1.3267176971e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	6         	ok              	1.3210000000e+00	4.9500000000e+03	1.9868665457e+18	1.9329200706e+18	1.3206300170e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	6         	ok              	1.1140000000e+00	4.9500000000e+03	1.6688291039e+18	1.6300325198e+18	1.3153519088e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	6         	ok              	9.4010000000e-01	4.9500000000e+03	1.4034803654e+18	1.3755777126e+18	1.3108336284e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	6         	ok              	7.9310000000e-01	4.9500000000e+03	1.1805169907e+18	1.1604836548e+18	1.3069518233e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	6         	ok              	6.6910000000e-01	4.9500000000e+03	9.9341439166e+17	9.7904376931e+17	1.3036310783e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	7         	ok              	5.6450000000e-01	4.9500000000e+03	8.3629153136e+17	8.2599044653e+17	1.3007955297e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	7         	ok              	4.7630000000e-01	4.9500000000e+03	7.0431478227e+17	6.9693401184e+17	1.2983790665e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	7         	ok              	4.0180000000e-01	4.9500000000e+03	5.9320729906e+17	5.8792375805e+17	1.2963188504e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	7         	ok              	3.3900000000e-01	4.9500000000e+03	4.9981492056e+17	4.9603323539e+17	1.2945678011e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	7         	ok              	2.8600000000e-01	4.9500000000e+03	4.2118784370e+17	4.1848231658e+17	1.2930790559e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	7         	ok              	2.4130000000e-01	4.9500000000e+03	3.5501145744e+17	3.5307616430e+17	1.2918150209e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
50        	7         	ok              	2.0360000000e-01	4.9500000000e+03	2.9929678485e+17	2.9791258621e+17	1.2907423525e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
51        	6         	ok              	1.7180000000e-01	4.9500000000e+03	2.5237198340e+17	2.5138203492e+17	1.2898323678e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
52        	6         	ok              	1.4490000000e-01	4.9500000000e+03	2.1272850340e+17	2.1202128557e+17	1.2890583835e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
53        	6         	ok              	1.2220000000e-01	4.9500000000e+03	1.7931113206e+17	1.7880608072e+17	1.2884018318e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
54        	6         	ok              	1.0310000000e-01	4.9500000000e+03	1.5121940365e+17	1.5085848545e+17	1.2878466178e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
55        	6         	ok              	8.7020000000e-02	4.9500000000e+03	1.2758790561e+17	1.2732982933e+17	1.2873769075e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
56        	6         	ok              	7.3410000000e-02	4.9500000000e+03	1.0759965490e+17	1.0741533867e+17	1.2869774546e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
57        	5         	ok              	6.1940000000e-02	4.9500000000e+03	9.0763808684e+16	9.0632149262e+16	1.2866392337e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
58        	5         	ok              	5.2250000000e-02	4.9500000000e+03	7.6547483401e+16	7.6453500144e+16	1.2863522305e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
59        	5         	ok              	4.4090000000e-02	4.9500000000e+03	6.4580701683e+16	6.4513585098e+16	1.2861094908e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
60        	5         	ok              	3.7190000000e-02	4.9500000000e+03	5.4465216199e+16	5.4417333404e+16	1.2859033765e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
61        	5         	ok              	3.1380000000e-02	4.9500000000e+03	4.5950171943e+16	4.5915996833e+16	1.2857291344e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
62        	4         	ok              	2.6470000000e-02	4.9500000000e+03	3.8755934737e+16	3.8731562657e+16	1.2855813427e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
63        	4         	ok              	2.2340000000e-02	4.9500000000e+03	3.2705839232e+16	3.2688443889e+16	1.2854565869e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
64        	4         	ok              	1.8840000000e-02	4.9500000000e+03	2.7579551091e+16	2.7567156798e+16	1.2853505242e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
65        	4         	ok              	1.5900000000e-02	4.9500000000e+03	2.3274117767e+16	2.3265275642e+16	1.2852611712e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
66        	4         	ok              	1.3410000000e-02	4.9500000000e+03	1.9628144270e+16	1.9621845683e+16	1.2851852945e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
67        	4         	ok              	1.1320000000e-02	4.9500000000e+03	1.6568199574e+16	1.6563705677e+16	1.2851214554e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
68        	4         	ok              	9.5470000000e-03	4.9500000000e+03	1.3972607906e+16	1.3969407959e+16	1.2850671843e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
69        	3         	ok              	8.0550000000e-03	4.9500000000e+03	1.1788556541e+16	1.1786276434e+16	1.2850214263e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
70        	3         	ok              	6.7950000000e-03	4.9500000000e+03	9.9442369958e+15	9.9426130810e+15	1.2849827228e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
71        	3         	ok              	5.7330000000e-03	4.9500000000e+03	8.3898250563e+15	8.3886682551e+15	1.2849500537e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
72        	3         	ok              	4.8370000000e-03	4.9500000000e+03	7.0784427350e+15	7.0776187598e+15	1.2849224563e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
73        	3         	ok              	4.0810000000e-03	4.9500000000e+03	5.9720075944e+15	5.9714207481e+15	1.2848991455e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
74        	3         	ok              	3.4430000000e-03	4.9500000000e+03	5.0383011622e+15	5.0378832727e+15	1.2848794547e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
75        	3         	ok              	2.9050000000e-03	4.9500000000e+03	4.2509658953e+15	4.2506682855e+15	1.2848628367e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
76        	3         	ok              	2.4510000000e-03	4.9500000000e+03	3.5865761146e+15	3.5863641886e+15	1.2848488036e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
77        	3         	ok              	2.0670000000e-03	4.9500000000e+03	3.0246365984e+15	3.0244858335e+15	1.2848369271e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
78        	3         	ok              	1.7440000000e-03	4.9500000000e+03	2.5519715496e+15	2.5518641962e+15	1.2848269322e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
79        	3         	ok              	1.4720000000e-03	4.9500000000e+03	2.1539435217e+15	2.1538670280e+15	1.2848185118e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
80        	2         	ok              	1.2420000000e-03	4.9500000000e+03	1.8173797712e+15	1.8173253049e+15	1.2848113895e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
81        	2         	ok              	1.0470000000e-03	4.9500000000e+03	1.5320351643e+15	1.5319964527e+15	1.2848053485e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
82        	2         	ok              	8.8370000000e-04	4.9500000000e+03	1.2930794103e+15	1.2930518292e+15	1.2848002882e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
83        	2         	ok              	7.4560000000e-04	4.9500000000e+03	1.0910001091e+15	1.0909804729e+15	1.2847960080e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
84        	2         	ok              	6.2900000000e-04	4.9500000000e+03	9.2038242760e+14	9.2036845150e+14	1.2847923934e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
85        	2         	ok              	5.3070000000e-04	4.9500000000e+03	7.7654339531e+14	7.7653344548e+14	1.2847893456e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
86        	2         	ok              	4.4770000000e-04	4.9500000000e+03	6.5509286158e+14	6.5508578018e+14	1.2847867718e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
87        	2         	ok              	3.7770000000e-04	4.9500000000e+03	5.5266507872e+14	5.5266003836e+14	1.2847846010e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
88        	2         	ok              	3.1870000000e-04	4.9500000000e+03	4.6633335907e+14	4.6632977026e+14	1.2847827711e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
89        	2         	ok              	2.6890000000e-04	4.9500000000e+03	3.9346372604e+14	3.9346117108e+14	1.2847812264e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
90        	2         	ok              	2.2680000000e-04	4.9500000000e+03	3.3186122112e+14	3.3185940350e+14	1.2847799204e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
